,id,roi,model,TR,var
1,1,Amy_L,diag,540,0.12160289
2,1,Amy_R,diag,540,0.171359338
3,1,EC_L,diag,540,2.356473762
4,1,EC_R,diag,540,0.900513009
5,1,Hippo_L,diag,540,0.094060739
6,1,Hippo_R,diag,540,0.09165575
7,1,M1l,diag,540,0.100473013
8,1,M1r,diag,540,0.075086636
9,1,mPFC,diag,540,0.210639355
11,2,Amy_L,diag,540,0.236375678
12,2,Amy_R,diag,540,0.219833558
13,2,EC_L,diag,540,0.707203071
14,2,EC_R,diag,540,0.806665644
15,2,Hippo_L,diag,540,0.105074194
16,2,Hippo_R,diag,540,0.04099755
17,2,M1l,diag,540,0.110431138
18,2,M1r,diag,540,0.443299664
19,2,mPFC,diag,540,0.169598749
21,3,Amy_L,diag,540,0.137613346
22,3,Amy_R,diag,540,0.135744252
23,3,EC_L,diag,540,0.950131028
24,3,EC_R,diag,540,2.137931416
25,3,Hippo_L,diag,540,0.0591294
26,3,Hippo_R,diag,540,0.081683291
27,3,M1l,diag,540,0.062265445
28,3,M1r,diag,540,0.084259722
29,3,mPFC,diag,540,0.151327387
31,4,Amy_L,diag,540,0.780635353
32,4,Amy_R,diag,540,0.646926783
33,4,EC_L,diag,540,1.839793354
34,4,EC_R,diag,540,1.853686051
35,4,Hippo_L,diag,540,0.24063586
36,4,Hippo_R,diag,540,0.344004521
37,4,M1l,diag,540,0.242205215
38,4,M1r,diag,540,0.287502833
39,4,mPFC,diag,540,0.076253422
41,6,Amy_L,diag,540,0.081992399
42,6,Amy_R,diag,540,0.125025892
43,6,EC_L,diag,540,0.85450116
44,6,EC_R,diag,540,1.065963962
45,6,Hippo_L,diag,540,0.113195995
46,6,Hippo_R,diag,540,0.110396028
47,6,M1l,diag,540,0.163166154
48,6,M1r,diag,540,0.157449036
49,6,mPFC,diag,540,0.205716632
51,7,Amy_L,diag,547,0.408614918
52,7,Amy_R,diag,547,0.484035263
53,7,EC_L,diag,547,3.608305149
54,7,EC_R,diag,547,4.265574026
55,7,Hippo_L,diag,547,0.116480749
56,7,Hippo_R,diag,547,0.151255625
57,7,M1l,diag,547,0.15847725
58,7,M1r,diag,547,0.181577364
59,7,mPFC,diag,547,0.340857663
61,9,Amy_L,diag,547,0.613841428
62,9,Amy_R,diag,547,0.244640385
63,9,EC_L,diag,547,3.693861791
64,9,EC_R,diag,547,3.68071463
65,9,Hippo_L,diag,547,0.323522873
66,9,Hippo_R,diag,547,0.178671563
67,9,M1l,diag,547,0.246538275
68,9,M1r,diag,547,0.315918939
69,9,mPFC,diag,547,0.762724003
71,10,Amy_L,diag,547,0.473204454
72,10,Amy_R,diag,547,0.746571303
73,10,EC_L,diag,547,2.772267504
74,10,EC_R,diag,547,4.171310766
75,10,Hippo_L,diag,547,0.233441046
76,10,Hippo_R,diag,547,0.558749037
77,10,M1l,diag,547,0.282199564
78,10,M1r,diag,547,0.245599567
79,10,mPFC,diag,547,1.106299123
81,11,Amy_L,diag,547,0.124264156
82,11,Amy_R,diag,547,0.114972666
83,11,EC_L,diag,547,1.713451949
84,11,EC_R,diag,547,0.979169498
85,11,Hippo_L,diag,547,0.114287012
86,11,Hippo_R,diag,547,0.080469417
87,11,M1l,diag,547,0.054949427
88,11,M1r,diag,547,0.117212793
89,11,mPFC,diag,547,0.788283755
91,15,Amy_L,diag,547,0.177160442
92,15,Amy_R,diag,547,0.099501828
93,15,EC_L,diag,547,2.118110271
94,15,EC_R,diag,547,1.674299709
95,15,Hippo_L,diag,547,0.145532616
96,15,Hippo_R,diag,547,0.173135692
97,15,M1l,diag,547,0.08107656
98,15,M1r,diag,547,0.121735741
99,15,mPFC,diag,547,0.677425878
101,17,Amy_L,diag,547,0.532214403
102,17,Amy_R,diag,547,0.438328952
103,17,EC_L,diag,547,1.396914543
104,17,EC_R,diag,547,2.142898922
105,17,Hippo_L,diag,547,0.290875135
106,17,Hippo_R,diag,547,0.368458572
107,17,M1l,diag,547,0.349902858
108,17,M1r,diag,547,0.299951244
109,17,mPFC,diag,547,0.507308734
111,18,Amy_L,diag,547,0.156456526
112,18,Amy_R,diag,547,0.103452227
113,18,EC_L,diag,547,0.554851369
114,18,EC_R,diag,547,1.121116479
115,18,Hippo_L,diag,547,0.09504558
116,18,Hippo_R,diag,547,0.092103843
117,18,M1l,diag,547,0.108196006
118,18,M1r,diag,547,0.132045658
119,18,mPFC,diag,547,0.167856188
121,19,Amy_L,diag,547,0.638477948
122,19,Amy_R,diag,547,0.442482347
123,19,EC_L,diag,547,1.594095815
124,19,EC_R,diag,547,0.949429062
125,19,Hippo_L,diag,547,0.839390217
126,19,Hippo_R,diag,547,0.409485678
127,19,M1l,diag,547,0.691013959
128,19,M1r,diag,547,0.469429392
129,19,mPFC,diag,547,0.286390334
131,21,Amy_L,diag,547,0.883896653
132,21,Amy_R,diag,547,0.293628926
133,21,EC_L,diag,547,3.570474578
134,21,EC_R,diag,547,2.164742071
135,21,Hippo_L,diag,547,0.570638373
136,21,Hippo_R,diag,547,0.250322964
137,21,M1l,diag,547,0.228145378
138,21,M1r,diag,547,0.355124736
139,21,mPFC,diag,547,1.291097277
141,22,Amy_L,diag,547,0.489716827
142,22,Amy_R,diag,547,0.252918845
