"","id","roi","model","TR","var","LL"
"1",1,"Amy_L","D",1099,0.098612047,-286.462714543812
"2",1,"Amy_R","D",1099,0.156534926,-540.378817539937
"3",1,"EC_L","D",1099,1.89959107,-1911.99387885424
"4",1,"EC_R","D",1099,0.750284634,-1401.54065146162
"5",1,"Hippo_L","D",1099,0.082165589,-186.202677907176
"6",1,"Hippo_R","D",1099,0.069070061,-90.8011129524955
"9",1,"mPFC","D",1099,0.09848261,-285.740973601588
"11",2,"Amy_L","D",1099,0.293603224,-885.986910236023
"12",2,"Amy_R","D",1099,0.19898025,-672.218384866924
"13",2,"EC_L","D",1099,1.437860514,-1758.96780989137
"14",2,"EC_R","D",1099,1.204299945,-1661.56464056016
"15",2,"Hippo_L","D",1099,0.122440708,-405.392901809505
"16",2,"Hippo_R","D",1099,0.062308323,-34.1881314918302
"19",2,"mPFC","D",1099,0.194539211,-659.81516326193
"21",3,"Amy_L","D",1099,0.385050732,-1034.98153801213
"22",3,"Amy_R","D",1099,0.212430573,-708.160985409414
"23",3,"EC_L","D",1099,4.101734514,-2334.98320806793
"24",3,"EC_R","D",1099,3.630859526,-2267.97688563824
"25",3,"Hippo_L","D",1099,0.130053682,-438.538965564234
"26",3,"Hippo_R","D",1099,0.122657113,-406.363245633172
"29",3,"mPFC","D",1099,0.492752108,-1170.50534230955
"31",4,"Amy_L","D",1099,0.883279819,-1491.2132265852
"32",4,"Amy_R","D",1099,0.641222352,-1315.22718792266
"33",4,"EC_L","D",1099,4.122995341,-2337.82411607701
"34",4,"EC_R","D",1099,5.253904409,-2471.01828567606
"35",4,"Hippo_L","D",1099,0.243655657,-783.519836910562
"36",4,"Hippo_R","D",1099,0.316210753,-926.748629860797
"39",4,"mPFC","D",1099,0.513249725,-1192.9009269849
"41",6,"Amy_L","D",1099,0.08607701,-211.757599384957
"42",6,"Amy_R","D",1099,0.095709605,-270.046525393535
"43",6,"EC_L","D",1099,0.776463418,-1420.38678897113
"44",6,"EC_R","D",1099,1.595833535,-1816.247655611
"45",6,"Hippo_L","D",1099,0.069538129,-94.5123560425889
"46",6,"Hippo_R","D",1099,0.067936496,-81.7079980638573
"49",6,"mPFC","D",1099,0.116707727,-379.042098102644
"51",7,"Amy_L","D",1112,0.415255817,-1089.21319860364
"52",7,"Amy_R","D",1112,0.472142063,-1160.59535001457
"53",7,"EC_L","D",1112,1.80690277,-1906.79714565083
"54",7,"EC_R","D",1112,2.999122869,-2188.52549604179
