"","id","roi","model","TR","var","LL"
"1",1,"Amy_L","D1",540,0.119546216971665,-192.73270597113
"2",1,"Amy_R","D1",540,0.170716990685571,-288.934815860655
"3",1,"EC_L","D1",540,2.34325010034309,-996.142310246517
"4",1,"EC_R","D1",540,0.88602272454692,-733.553384267572
"5",1,"Hippo_L","D1",540,0.0935482721213739,-126.521829864492
"6",1,"Hippo_R","D1",540,0.091599193776927,-120.836949526789
"9",1,"mPFC","D1",540,0.21223686880633,-347.712680898361
"11",2,"Amy_L","D1",540,0.237110905115371,-377.635438758404
"12",2,"Amy_R","D1",540,0.21983141334373,-357.205338999804
"13",2,"EC_L","D1",540,0.705305918828821,-671.963424354982
"14",2,"EC_R","D1",540,0.801770424341183,-706.574907101674
"15",2,"Hippo_L","D1",540,0.105343485960265,-158.58398521798
"16",2,"Hippo_R","D1",540,0.0400077638175584,102.817264100574
"19",2,"mPFC","D1",540,0.169364138446012,-286.786669432207
"21",3,"Amy_L","D1",540,0.137430520191798,-230.374872664253
"22",3,"Amy_R","D1",540,0.135824987665657,-227.202027044645
"23",3,"EC_L","D1",540,0.950223640388694,-752.441171918163
"24",3,"EC_R","D1",540,2.13799155194362,-971.390860457836
"25",3,"Hippo_L","D1",540,0.0583045966904378,1.13326475285613
"26",3,"Hippo_R","D1",540,0.0818383914579755,-90.414428623363
"29",3,"mPFC","D1",540,0.151152695682271,-256.071332603989
"31",4,"Amy_L","D1",540,0.778837457430848,-698.739522149774
"32",4,"Amy_R","D1",540,0.646420460277403,-648.424425633309
"33",4,"EC_L","D1",540,1.84707382420022,-931.899528886494
"34",4,"EC_R","D1",540,1.86039649180968,-933.84000874541
"35",4,"Hippo_L","D1",540,0.240434478072351,-381.39373783983
"36",4,"Hippo_R","D1",540,0.342783742935776,-477.149818144919
"39",4,"mPFC","D1",540,0.0761142750425429,-70.836556695633
"41",6,"Amy_L","D1",540,0.0816002893503659,-89.6277407448643
"42",6,"Amy_R","D1",540,0.123540654025399,-201.606859363995
"43",6,"EC_L","D1",540,0.86161280758806,-726.01050007284
"44",6,"EC_R","D1",540,1.05969674570888,-781.882158055009
"45",6,"Hippo_L","D1",540,0.114856013786522,-181.926290867138
"46",6,"Hippo_R","D1",540,0.109690986757061,-169.503026943796
"49",6,"mPFC","D1",540,0.202861729877618,-335.514528211766
"51",7,"Amy_L","D1",547,0.412417450808893,-533.915173048281
"52",7,"Amy_R","D1",547,0.504351860363563,-588.953791656906
"53",7,"EC_L","D1",547,3.63482873861015,-1129.12808338445
"54",7,"EC_R","D1",547,4.35219520374335,-1178.39045676542
"55",7,"Hippo_L","D1",547,0.116118024775967,-187.273358592277
"56",7,"Hippo_R","D1",547,0.153150339167635,-262.981691958456
"59",7,"mPFC","D1",547,0.335831567554813,-477.731074730826
"61",9,"Amy_L","D1",547,0.613020817071806,-642.320406560071
"62",9,"Amy_R","D1",547,0.245097854619271,-391.591645343635
"63",9,"EC_L","D1",547,3.69165843535258,-1133.37110829542
"64",9,"EC_R","D1",547,3.71232833572737,-1134.89818623705
"65",9,"Hippo_L","D1",547,0.323643022309406,-467.620156654847
"66",9,"Hippo_R","D1",547,0.179638994243149,-306.61292859093
"69",9,"mPFC","D1",547,0.760677949097166,-701.344764082952
"71",10,"Amy_L","D1",547,0.472874629708257,-571.328395880747
"72",10,"Amy_R","D1",547,0.748925196475794,-697.086104717708
"73",10,"EC_L","D1",547,2.80992537178843,-1058.728070126
"74",10,"EC_R","D1",547,4.20822721366553,-1169.1902196042
"75",10,"Hippo_L","D1",547,0.235110133260789,-380.213093323554
"76",10,"Hippo_R","D1",547,0.558809423918304,-616.996931369871
"79",10,"mPFC","D1",547,1.10486185094105,-803.43288118467
"81",11,"Amy_L","D1",547,0.124359784743585,-206.027725505679
"82",11,"Amy_R","D1",547,0.115010177573291,-184.651449821983
"83",11,"EC_L","D1",547,1.73050562998849,-926.150507512722
"84",11,"EC_R","D1",547,0.973250495074478,-768.743757790924
"85",11,"Hippo_L","D1",547,0.114464663683314,-183.351103961474
"86",11,"Hippo_R","D1",547,0.0804034857393744,-86.7485433744506
"89",11,"mPFC","D1",547,0.788029861874556,-711.006400736892
"91",15,"Amy_L","D1",547,0.176600138506766,-301.946696680813
"92",15,"Amy_R","D1",547,0.098867712424494,-143.287882353558
"93",15,"EC_L","D1",547,2.10657322267812,-979.933988420063
"94",15,"EC_R","D1",547,1.66446251623058,-915.508245292232
"95",15,"Hippo_L","D1",547,0.14410177985611,-246.325489057141
"96",15,"Hippo_R","D1",547,0.170306548129241,-292.021919112893
"99",15,"mPFC","D1",547,0.67873994366263,-670.173416950809
"101",17,"Amy_L","D1",547,0.528745361612054,-601.871961862608
"102",17,"Amy_R","D1",547,0.438280551851675,-550.550309542713
"103",17,"EC_L","D1",547,1.39744365466801,-867.684677560118
"104",17,"EC_R","D1",547,2.14041234189923,-984.29246566344
"105",17,"Hippo_L","D1",547,0.284571777867895,-432.43284763391
"106",17,"Hippo_R","D1",547,0.367906277358393,-502.67932830062
"109",17,"mPFC","D1",547,0.51010774550033,-592.05741740796
"111",18,"Amy_L","D1",547,0.154943391834833,-266.165174073956
"112",18,"Amy_R","D1",547,0.103548665865833,-155.939714849969
"113",18,"EC_L","D1",547,0.553021656942359,-614.149433051217
"114",18,"EC_R","D1",547,1.13857290911398,-811.653016323489
"115",18,"Hippo_L","D1",547,0.0956277342682397,-134.174908016246
"116",18,"Hippo_R","D1",547,0.0921347286790159,-123.997716629102
"119",18,"mPFC","D1",547,0.170619825419861,-292.524557628115
"121",19,"Amy_L","D1",547,0.641099999384606,-654.569529445451
"122",19,"Amy_R","D1",547,0.443970163166283,-554.077946848216
"123",19,"EC_L","D1",547,1.59407240108263,-903.690239756475
"124",19,"EC_R","D1",547,0.949855756760978,-762.089131625686
