,alpha,r,xp,bor,pxp,roi,type
1,5.964177656,0.213006345,0.122627,0.999827801,0.249978066,Amy_L,D1
2,8.856942863,0.316319388,0.514992,0.999827801,0.250045631,Amy_L,D2
3,7.00741715,0.250264898,0.223282,0.999827801,0.249995399,Amy_L,diag
4,6.171462331,0.220409369,0.139099,0.999827801,0.249980903,Amy_L,E
5,3.270349746,0.116798205,0.005395,0.878472415,0.220273745,Amy_R,D1
6,8.62888535,0.308174477,0.27095,0.878472415,0.252546003,Amy_R,D2
7,11.11044323,0.396801544,0.693154,0.878472415,0.303855435,Amy_R,diag
8,4.990321676,0.178225774,0.030501,0.878472415,0.223324817,Amy_R,E
9,6.6482622,0.237437936,0.19332,0.999995696,0.249999756,EC_L,D1
10,8.476477989,0.302731357,0.463427,0.999995696,0.250000919,EC_L,D2
11,6.437737503,0.229919197,0.171485,0.999995696,0.249999662,EC_L,diag
12,6.437522308,0.229911511,0.171768,0.999995696,0.249999663,EC_L,E
13,7.21034982,0.257512494,0.268893,0.999999025,0.250000018,EC_R,D1
14,6.463196955,0.230828463,0.180398,0.999999025,0.249999932,EC_R,D2
15,7.932692395,0.283310443,0.377233,0.999999025,0.250000124,EC_R,diag
16,6.39376083,0.228348601,0.173476,0.999999025,0.249999925,EC_R,E
17,7.76163399,0.277201214,0.165685,0.881980991,0.240049227,HC_L,D1
18,5.8161377,0.207719204,0.051368,0.881980991,0.226557648,HC_L,D2
19,11.70217343,0.417934766,0.780473,0.881980991,0.312605898,HC_L,diag
20,2.720054876,0.097144817,0.002474,0.881980991,0.220787227,HC_L,E
21,8.831489801,0.31541035,0.218331,0.798792604,0.243627963,HC_R,D1
22,3.802610713,0.135807525,0.006473,0.798792604,0.201000566,HC_R,D2
23,12.27652299,0.43844725,0.772491,0.798792604,0.355129054,HC_R,diag
24,3.089376499,0.110334875,0.002705,0.798792604,0.200242417,HC_R,E
25,7.076485476,0.252731624,0.231664,0.971584137,0.249478967,mPFC,D1
26,8.049088582,0.287467449,0.369175,0.971584137,0.25338646,mPFC,D2
27,7.836897619,0.279889201,0.334496,0.971584137,0.252401027,mPFC,diag
28,5.037528323,0.179911726,0.064665,0.971584137,0.244733546,mPFC,E
