"","id","class","roi","beta"
"1","001","F1","chirrel_MFGr",0.0592181
"2","001","F1","chirrel_MFGr",-0.23133
"3","001","F1","chirrel_MFGr",-0.487188
"4","001","F1","chirrel_MFGr",-0.143148
"5","001","F1","chirrel_MFGr",0.254022
"6","001","F1","chirrel_MFGr",0.294584
"7","001","F1","chirrel_MFGr",0.263664
"8","001","F1","chirrel_MFGr",0.0793834
"9","001","F1","chirrel_MFGr",-0.0384795
"10","001","F1","chirrel_MFGr",-0.0313296
"11","001","F1","chirrel_MFGr",-0.0727467
"12","001","F1","chirrel_MFGr",0.00620479
"13","001","F1","chirrel_MFGr",-0.039174
"14","001","F1","chirrel_MFGr",5.71926e-05
"15","001","F1","chirrel_MFGr",0.0298838
"16","001","F1","chirrel_MFGr",0.0895468
"17","001","F1","chirrel_MFGr",0.0523542
"18","001","F1","chirrel_MFGr",0.0797553
"19","001","F1","chirrel_MFGr",0.069427
"20","001","F1","chirrel_MFGr",-0.0650559
"21","001","F1","chirrel_MFGr",0.0148624
"22","001","F1","chirrel_MFGr",0.0780261
"23","001","F1","chirrel_MFGr",-0.00102686
"24","001","F1","chirrel_MFGr",0.0087038
"25","001","F1","chirrel_MFGr",0.0409556
"26","001","F1","chirrel_MFGr",0.0324461
"27","001","F1","chirrel_MFGr",-0.0065461
"28","001","F1","chirrel_MFGr",0.00209668
"29","001","F1","chirrel_MFGr",0.0942119
"30","001","F1","chirrel_MFGr",0.0594057
"31","001","F1","chirrel_precuences",0.192794
"32","001","F1","chirrel_precuences",-0.331404
"33","001","F1","chirrel_precuences",-0.809553
"34","001","F1","chirrel_precuences",-0.763299
"35","001","F1","chirrel_precuences",-0.299593
"36","001","F1","chirrel_precuences",-0.11161
"37","001","F1","chirrel_precuences",-0.118851
"38","001","F1","chirrel_precuences",-0.222142
"39","001","F1","chirrel_precuences",-0.198245
"40","001","F1","chirrel_precuences",-0.0705599
"41","001","F1","chirrel_precuences",-0.0599297
"42","001","F1","chirrel_precuences",0.00572887
"43","001","F1","chirrel_precuences",0.00515365
"44","001","F1","chirrel_precuences",0.0285977
"45","001","F1","chirrel_precuences",-0.0228873
"46","001","F1","chirrel_precuences",-0.0845563
"47","001","F1","chirrel_precuences",0.0146318
"48","001","F1","chirrel_precuences",0.0539002
"49","001","F1","chirrel_precuences",0.0285801
"50","001","F1","chirrel_precuences",0.0248275
"51","001","F1","chirrel_precuences",-0.0689347
"52","001","F1","chirrel_precuences",0.00122369
"53","001","F1","chirrel_precuences",-0.0542944
"54","001","F1","chirrel_precuences",-0.0494472
"55","001","F1","chirrel_precuences",0.0548052
"56","001","F1","chirrel_precuences",0.0404726
"57","001","F1","chirrel_precuences",0.0179839
"58","001","F1","chirrel_precuences",0.0107468
"59","001","F1","chirrel_precuences",0.0274355
"60","001","F1","chirrel_precuences",0.0819861
"61","001","F1","chrel_putamenl",0.0228977
"62","001","F1","chrel_putamenl",-0.0597765
"63","001","F1","chrel_putamenl",-0.152626
"64","001","F1","chrel_putamenl",-0.135894
"65","001","F1","chrel_putamenl",-0.172579
"66","001","F1","chrel_putamenl",-0.236463
"67","001","F1","chrel_putamenl",-0.141974
"68","001","F1","chrel_putamenl",-0.208484
"69","001","F1","chrel_putamenl",0.00866157
"70","001","F1","chrel_putamenl",-0.0514863
"71","001","F1","chrel_putamenl",-0.00213797
"72","001","F1","chrel_putamenl",-0.0424981
"73","001","F1","chrel_putamenl",0.00455558
"74","001","F1","chrel_putamenl",-0.0244297
"75","001","F1","chrel_putamenl",0.000260505
"76","001","F1","chrel_putamenl",-0.0879925
"77","001","F1","chrel_putamenl",0.00893678
"78","001","F1","chrel_putamenl",-0.00657752
"79","001","F1","chrel_putamenl",0.0121663
"80","001","F1","chrel_putamenl",0.0252811
"81","001","F1","chrel_putamenl",-0.0369093
"82","001","F1","chrel_putamenl",-0.0262909
"83","001","F1","chrel_putamenl",-0.0187737
"84","001","F1","chrel_putamenl",-0.0127486
"85","001","F1","chrel_putamenl",0.0165329
"86","001","F1","chrel_putamenl",0.030048
"87","001","F1","chrel_putamenl",0.00999473
