,id,face,type,roi,beta
1,1,F1,irrel,chirrel_MFG_r,0.0243171
15,1,F1,rel,chirrel_MFG_r,0.0252722
29,1,F2,D,chirrel_MFG_r,-0.0477524
43,1,F2,I,chirrel_MFG_r,0.0270582
57,1,F2,irrel,chirrel_MFG_r,0.0304185
71,1,F2,rel,chirrel_MFG_r,0.0194767
85,2,F1,irrel,chirrel_MFG_r,-0.0381618
99,2,F1,rel,chirrel_MFG_r,-0.0715724
113,2,F2,D,chirrel_MFG_r,-0.00603475
127,2,F2,I,chirrel_MFG_r,-0.0661345
141,2,F2,irrel,chirrel_MFG_r,-0.0533025
155,2,F2,rel,chirrel_MFG_r,0.0455174
169,3,F1,irrel,chirrel_MFG_r,0.0408871
183,3,F1,rel,chirrel_MFG_r,0.0622536
197,3,F2,D,chirrel_MFG_r,-0.300827
211,3,F2,I,chirrel_MFG_r,0.113269
225,3,F2,irrel,chirrel_MFG_r,-0.0896834
239,3,F2,rel,chirrel_MFG_r,0.0517847
253,4,F1,irrel,chirrel_MFG_r,-0.101904
267,4,F1,rel,chirrel_MFG_r,-0.005144
281,4,F2,D,chirrel_MFG_r,-0.103766
295,4,F2,I,chirrel_MFG_r,-0.127698
309,4,F2,irrel,chirrel_MFG_r,0.0385492
323,4,F2,rel,chirrel_MFG_r,-0.0554951
337,6,F1,irrel,chirrel_MFG_r,-0.0454979
351,6,F1,rel,chirrel_MFG_r,0.0158036
365,6,F2,D,chirrel_MFG_r,-0.113995
379,6,F2,I,chirrel_MFG_r,-0.00610893
393,6,F2,irrel,chirrel_MFG_r,0.0397855
407,6,F2,rel,chirrel_MFG_r,0.114997
421,7,F1,irrel,chirrel_MFG_r,-0.0487671
435,7,F1,rel,chirrel_MFG_r,-0.00519368
449,7,F2,D,chirrel_MFG_r,-0.119964
463,7,F2,I,chirrel_MFG_r,-0.0364954
477,7,F2,irrel,chirrel_MFG_r,-0.049566
491,7,F2,rel,chirrel_MFG_r,-0.100137
505,9,F1,irrel,chirrel_MFG_r,-0.0115518
519,9,F1,rel,chirrel_MFG_r,0.0180621
533,9,F2,D,chirrel_MFG_r,0.00758915
547,9,F2,I,chirrel_MFG_r,0.00236045
561,9,F2,irrel,chirrel_MFG_r,-0.0197051
575,9,F2,rel,chirrel_MFG_r,-0.0701046
589,10,F1,irrel,chirrel_MFG_r,-0.118743
603,10,F1,rel,chirrel_MFG_r,0.357582
617,10,F2,D,chirrel_MFG_r,0.0955402
631,10,F2,I,chirrel_MFG_r,-0.203596
645,10,F2,irrel,chirrel_MFG_r,-0.0212668
659,10,F2,rel,chirrel_MFG_r,-0.0304978
673,11,F1,irrel,chirrel_MFG_r,-0.0492982
687,11,F1,rel,chirrel_MFG_r,0.0197201
701,11,F2,D,chirrel_MFG_r,-0.0925553
715,11,F2,I,chirrel_MFG_r,-0.0144947
729,11,F2,irrel,chirrel_MFG_r,-0.0933941
743,11,F2,rel,chirrel_MFG_r,-0.0362474
757,15,F1,irrel,chirrel_MFG_r,-0.0152743
771,15,F1,rel,chirrel_MFG_r,-0.0781751
785,15,F2,D,chirrel_MFG_r,0.0814562
799,15,F2,I,chirrel_MFG_r,-0.0162524
813,15,F2,irrel,chirrel_MFG_r,-0.00632022
827,15,F2,rel,chirrel_MFG_r,-0.0968227
841,17,F1,irrel,chirrel_MFG_r,-0.0978329
855,17,F1,rel,chirrel_MFG_r,-0.0513805
869,17,F2,D,chirrel_MFG_r,-0.0602939
883,17,F2,I,chirrel_MFG_r,0.0113446
897,17,F2,irrel,chirrel_MFG_r,-0.00361398
911,17,F2,rel,chirrel_MFG_r,0.106943
925,18,F1,irrel,chirrel_MFG_r,-0.176506
939,18,F1,rel,chirrel_MFG_r,-0.0842026
953,18,F2,D,chirrel_MFG_r,0.0358743
967,18,F2,I,chirrel_MFG_r,0.00187029
981,18,F2,irrel,chirrel_MFG_r,-0.0876262
995,18,F2,rel,chirrel_MFG_r,-0.00223357
1009,19,F1,irrel,chirrel_MFG_r,-0.0552266
1023,19,F1,rel,chirrel_MFG_r,0.019388
1037,19,F2,D,chirrel_MFG_r,-0.36738
1051,19,F2,I,chirrel_MFG_r,-0.139265
1065,19,F2,irrel,chirrel_MFG_r,0.167764
1079,19,F2,rel,chirrel_MFG_r,0.0607318
1093,21,F1,irrel,chirrel_MFG_r,0.0279668
1107,21,F1,rel,chirrel_MFG_r,0.0582231
1121,21,F2,D,chirrel_MFG_r,-0.0827291
1135,21,F2,I,chirrel_MFG_r,0.155801
1149,21,F2,irrel,chirrel_MFG_r,0.00347794
1163,21,F2,rel,chirrel_MFG_r,-0.00661532
1177,22,F1,irrel,chirrel_MFG_r,-0.195828
1191,22,F1,rel,chirrel_MFG_r,-0.0555766
1205,22,F2,D,chirrel_MFG_r,0.127128
1219,22,F2,I,chirrel_MFG_r,0.153798
1233,22,F2,irrel,chirrel_MFG_r,0.141908
1247,22,F2,rel,chirrel_MFG_r,-0.102003
1261,23,F1,irrel,chirrel_MFG_r,-0.028422
1275,23,F1,rel,chirrel_MFG_r,-0.058998
1289,23,F2,D,chirrel_MFG_r,-0.062331
1303,23,F2,I,chirrel_MFG_r,0.0374521
1317,23,F2,irrel,chirrel_MFG_r,0.0676605
1331,23,F2,rel,chirrel_MFG_r,0.0243153
1345,24,F1,irrel,chirrel_MFG_r,0.0160508
1359,24,F1,rel,chirrel_MFG_r,-0.0529597
1373,24,F2,D,chirrel_MFG_r,0.20257
1387,24,F2,I,chirrel_MFG_r,0.000316915
1401,24,F2,irrel,chirrel_MFG_r,0.00805191
1415,24,F2,rel,chirrel_MFG_r,-0.0374488
1429,25,F1,irrel,chirrel_MFG_r,-0.0488394
1443,25,F1,rel,chirrel_MFG_r,-0.0274104
1457,25,F2,D,chirrel_MFG_r,-0.061917
1471,25,F2,I,chirrel_MFG_r,0.0308257
1485,25,F2,irrel,chirrel_MFG_r,-0.0432163
1499,25,F2,rel,chirrel_MFG_r,0.00474844
1513,26,F1,irrel,chirrel_MFG_r,-0.00755429
1527,26,F1,rel,chirrel_MFG_r,-0.00289214
1541,26,F2,D,chirrel_MFG_r,-0.0183812
1555,26,F2,I,chirrel_MFG_r,-0.0327056
1569,26,F2,irrel,chirrel_MFG_r,-0.0814542
1583,26,F2,rel,chirrel_MFG_r,-0.00915444
1597,27,F1,irrel,chirrel_MFG_r,-0.0187699
1611,27,F1,rel,chirrel_MFG_r,0.0589755
1625,27,F2,D,chirrel_MFG_r,-0.0427377
1639,27,F2,I,chirrel_MFG_r,-0.0441536
1653,27,F2,irrel,chirrel_MFG_r,0.10103
1667,27,F2,rel,chirrel_MFG_r,0.147096
1681,28,F1,irrel,chirrel_MFG_r,0.0962637
1695,28,F1,rel,chirrel_MFG_r,0.114244
1709,28,F2,D,chirrel_MFG_r,-0.41047
1723,28,F2,I,chirrel_MFG_r,-0.0392886
1737,28,F2,irrel,chirrel_MFG_r,-0.0784935
1751,28,F2,rel,chirrel_MFG_r,0.105428
1765,29,F1,irrel,chirrel_MFG_r,0.0178396
1779,29,F1,rel,chirrel_MFG_r,0.0391571
1793,29,F2,D,chirrel_MFG_r,-0.0850143
1807,29,F2,I,chirrel_MFG_r,0.0849036
1821,29,F2,irrel,chirrel_MFG_r,-0.0691032
1835,29,F2,rel,chirrel_MFG_r,-0.0582028
1849,30,F1,irrel,chirrel_MFG_r,0.0604575
1863,30,F1,rel,chirrel_MFG_r,-0.0223496
1877,30,F2,D,chirrel_MFG_r,-0.0708512
