"","id","face","type","roi","beta"
"1","001","F1","diag","chdiag_PCG_l",-0.0850255
"2","001","F1","diag","chdiagdiff_HC_l",-0.0224219
"3","001","F1","diag","F2diagdiff_insula_l",-0.00758536
"4","001","F1","diag","undiagdiff_IFG_l",-0.0512345
"5","001","F1","diag","undiagdiff_insula_l",-0.0294676
"6","001","F1","diag","undiagdiff_insula_r",-0.0354662
"7","001","F1","diag","undiagdiff_IPL_l",-0.116164
"8","001","F1","diag","undiagdiff_precuneus",-0.0553818
"9","001","F2","diag","chdiag_PCG_l",0.00378871
"10","001","F2","diag","chdiagdiff_HC_l",-0.0634594
"11","001","F2","diag","F2diagdiff_insula_l",0.0251937
"12","001","F2","diag","undiagdiff_IFG_l",0.0268867
"13","001","F2","diag","undiagdiff_insula_l",0.0160767
"14","001","F2","diag","undiagdiff_insula_r",-0.0243299
"15","001","F2","diag","undiagdiff_IPL_l",0.0353228
"16","001","F2","diag","undiagdiff_precuneus",-0.0418083
"17","001","F2","diagdiff","chdiag_PCG_l",-0.0757507
"18","001","F2","diagdiff","chdiagdiff_HC_l",-0.0316336
"19","001","F2","diagdiff","F2diagdiff_insula_l",-0.130554
"20","001","F2","diagdiff","undiagdiff_IFG_l",-0.129575
"21","001","F2","diagdiff","undiagdiff_insula_l",-0.128398
"22","001","F2","diagdiff","undiagdiff_insula_r",-0.103749
"23","001","F2","diagdiff","undiagdiff_IPL_l",-0.101367
"24","001","F2","diagdiff","undiagdiff_precuneus",-0.00718492
"25","002","F1","diag","chdiag_PCG_l",-0.0241908
"26","002","F1","diag","chdiagdiff_HC_l",-0.0286714
"27","002","F1","diag","F2diagdiff_insula_l",0.0149356
"28","002","F1","diag","undiagdiff_IFG_l",-0.0149609
"29","002","F1","diag","undiagdiff_insula_l",0.0128013
"30","002","F1","diag","undiagdiff_insula_r",0.00674365
"31","002","F1","diag","undiagdiff_IPL_l",-0.0515556
"32","002","F1","diag","undiagdiff_precuneus",-0.0146254
"33","002","F2","diag","chdiag_PCG_l",0.058563
"34","002","F2","diag","chdiagdiff_HC_l",0.102853
"35","002","F2","diag","F2diagdiff_insula_l",0.0830119
"36","002","F2","diag","undiagdiff_IFG_l",0.071327
"37","002","F2","diag","undiagdiff_insula_l",0.0708196
"38","002","F2","diag","undiagdiff_insula_r",0.0384307
"39","002","F2","diag","undiagdiff_IPL_l",0.0587258
"40","002","F2","diag","undiagdiff_precuneus",0.171907
"41","002","F2","diagdiff","chdiag_PCG_l",0.103526
"42","002","F2","diagdiff","chdiagdiff_HC_l",-0.171773
"43","002","F2","diagdiff","F2diagdiff_insula_l",-0.191633
"44","002","F2","diagdiff","undiagdiff_IFG_l",-0.15847
"45","002","F2","diagdiff","undiagdiff_insula_l",-0.146094
"46","002","F2","diagdiff","undiagdiff_insula_r",-0.193455
"47","002","F2","diagdiff","undiagdiff_IPL_l",-0.252238
"48","002","F2","diagdiff","undiagdiff_precuneus",-0.351501
"49","003","F1","diag","chdiag_PCG_l",0.00532461
"50","003","F1","diag","chdiagdiff_HC_l",-0.00833393
"51","003","F1","diag","F2diagdiff_insula_l",-0.00386727
"52","003","F1","diag","undiagdiff_IFG_l",-0.0310749
"53","003","F1","diag","undiagdiff_insula_l",0.000870452
"54","003","F1","diag","undiagdiff_insula_r",0.00687801
"55","003","F1","diag","undiagdiff_IPL_l",-0.0184865
"56","003","F1","diag","undiagdiff_precuneus",0.102197
"57","003","F2","diag","chdiag_PCG_l",-0.0267628
"58","003","F2","diag","chdiagdiff_HC_l",0.0139556
"59","003","F2","diag","F2diagdiff_insula_l",-0.0410771
"60","003","F2","diag","undiagdiff_IFG_l",-0.0199903
"61","003","F2","diag","undiagdiff_insula_l",-0.0490538
"62","003","F2","diag","undiagdiff_insula_r",-0.0116993
