scenario,scenario_family,rho,noise_level,expected,recovered,n,proportion
fixed_geometry,negative_control,0.5,0.5,neither,congruency_only,9,0.018
fixed_geometry,negative_control,0.5,0.5,neither,neither,479,0.958
fixed_geometry,negative_control,0.5,0.5,neither,task_only,12,0.024
fixed_geometry,negative_control,0.5,1.0,neither,congruency_only,13,0.026
fixed_geometry,negative_control,0.5,1.0,neither,neither,473,0.946
fixed_geometry,negative_control,0.5,1.0,neither,task_only,14,0.028
fixed_geometry,negative_control,0.5,1.5,neither,congruency_only,16,0.032
fixed_geometry,negative_control,0.5,1.5,neither,neither,462,0.924
fixed_geometry,negative_control,0.5,1.5,neither,task_only,22,0.044
fixed_geometry,negative_control,0.6,0.5,neither,congruency_only,12,0.024
fixed_geometry,negative_control,0.6,0.5,neither,neither,471,0.942
fixed_geometry,negative_control,0.6,0.5,neither,task_only,17,0.034
fixed_geometry,negative_control,0.6,1.0,neither,both,2,0.004
fixed_geometry,negative_control,0.6,1.0,neither,congruency_only,13,0.026
fixed_geometry,negative_control,0.6,1.0,neither,neither,466,0.932
fixed_geometry,negative_control,0.6,1.0,neither,task_only,19,0.038
fixed_geometry,negative_control,0.6,1.5,neither,congruency_only,10,0.02
fixed_geometry,negative_control,0.6,1.5,neither,neither,472,0.944
fixed_geometry,negative_control,0.6,1.5,neither,task_only,18,0.036
fixed_geometry,negative_control,0.7,0.5,neither,congruency_only,12,0.024
fixed_geometry,negative_control,0.7,0.5,neither,neither,476,0.952
fixed_geometry,negative_control,0.7,0.5,neither,task_only,12,0.024
fixed_geometry,negative_control,0.7,1.0,neither,congruency_only,20,0.04
fixed_geometry,negative_control,0.7,1.0,neither,neither,456,0.912
fixed_geometry,negative_control,0.7,1.0,neither,task_only,24,0.048
fixed_geometry,negative_control,0.7,1.5,neither,congruency_only,7,0.014
fixed_geometry,negative_control,0.7,1.5,neither,neither,483,0.966
fixed_geometry,negative_control,0.7,1.5,neither,task_only,10,0.02
fixed_geometry,negative_control,0.8,0.5,neither,congruency_only,10,0.02
fixed_geometry,negative_control,0.8,0.5,neither,neither,481,0.962
fixed_geometry,negative_control,0.8,0.5,neither,task_only,9,0.018
fixed_geometry,negative_control,0.8,1.0,neither,congruency_only,21,0.042
fixed_geometry,negative_control,0.8,1.0,neither,neither,471,0.942
fixed_geometry,negative_control,0.8,1.0,neither,task_only,8,0.016
fixed_geometry,negative_control,0.8,1.5,neither,congruency_only,16,0.032
fixed_geometry,negative_control,0.8,1.5,neither,neither,471,0.942
fixed_geometry,negative_control,0.8,1.5,neither,task_only,13,0.026
fixed_geometry,negative_control,0.9,0.5,neither,congruency_only,9,0.018
fixed_geometry,negative_control,0.9,0.5,neither,neither,478,0.956
fixed_geometry,negative_control,0.9,0.5,neither,task_only,13,0.026
fixed_geometry,negative_control,0.9,1.0,neither,both,1,0.002
fixed_geometry,negative_control,0.9,1.0,neither,congruency_only,22,0.044
fixed_geometry,negative_control,0.9,1.0,neither,neither,462,0.924
fixed_geometry,negative_control,0.9,1.0,neither,task_only,15,0.03
fixed_geometry,negative_control,0.9,1.5,neither,congruency_only,11,0.022
fixed_geometry,negative_control,0.9,1.5,neither,neither,467,0.934
fixed_geometry,negative_control,0.9,1.5,neither,task_only,22,0.044
fixed_geometry,negative_control,1.0,0.5,neither,congruency_only,15,0.03
fixed_geometry,negative_control,1.0,0.5,neither,neither,468,0.936
fixed_geometry,negative_control,1.0,0.5,neither,task_only,17,0.034
fixed_geometry,negative_control,1.0,1.0,neither,both,1,0.002
fixed_geometry,negative_control,1.0,1.0,neither,congruency_only,4,0.008
fixed_geometry,negative_control,1.0,1.0,neither,neither,483,0.966
fixed_geometry,negative_control,1.0,1.0,neither,task_only,12,0.024
fixed_geometry,negative_control,1.0,1.5,neither,both,1,0.002
fixed_geometry,negative_control,1.0,1.5,neither,congruency_only,13,0.026
fixed_geometry,negative_control,1.0,1.5,neither,neither,469,0.938
fixed_geometry,negative_control,1.0,1.5,neither,task_only,17,0.034
non_target_xy_anisotropy_control,geometric_specificity_control,0.5,0.5,neither,congruency_only,12,0.024
non_target_xy_anisotropy_control,geometric_specificity_control,0.5,0.5,neither,neither,478,0.956
non_target_xy_anisotropy_control,geometric_specificity_control,0.5,0.5,neither,task_only,10,0.02
non_target_xy_anisotropy_control,geometric_specificity_control,0.5,1.0,neither,congruency_only,16,0.032
non_target_xy_anisotropy_control,geometric_specificity_control,0.5,1.0,neither,neither,476,0.952
non_target_xy_anisotropy_control,geometric_specificity_control,0.5,1.0,neither,task_only,8,0.016
non_target_xy_anisotropy_control,geometric_specificity_control,0.5,1.5,neither,both,1,0.002
non_target_xy_anisotropy_control,geometric_specificity_control,0.5,1.5,neither,congruency_only,16,0.032
non_target_xy_anisotropy_control,geometric_specificity_control,0.5,1.5,neither,neither,465,0.93
non_target_xy_anisotropy_control,geometric_specificity_control,0.5,1.5,neither,task_only,18,0.036
non_target_xy_anisotropy_control,geometric_specificity_control,0.6,0.5,neither,congruency_only,11,0.022
non_target_xy_anisotropy_control,geometric_specificity_control,0.6,0.5,neither,neither,480,0.96
non_target_xy_anisotropy_control,geometric_specificity_control,0.6,0.5,neither,task_only,9,0.018
non_target_xy_anisotropy_control,geometric_specificity_control,0.6,1.0,neither,both,1,0.002
non_target_xy_anisotropy_control,geometric_specificity_control,0.6,1.0,neither,congruency_only,14,0.028
non_target_xy_anisotropy_control,geometric_specificity_control,0.6,1.0,neither,neither,469,0.938
non_target_xy_anisotropy_control,geometric_specificity_control,0.6,1.0,neither,task_only,16,0.032
non_target_xy_anisotropy_control,geometric_specificity_control,0.6,1.5,neither,congruency_only,18,0.036
non_target_xy_anisotropy_control,geometric_specificity_control,0.6,1.5,neither,neither,467,0.934
non_target_xy_anisotropy_control,geometric_specificity_control,0.6,1.5,neither,task_only,15,0.03
non_target_xy_anisotropy_control,geometric_specificity_control,0.7,0.5,neither,congruency_only,9,0.018
non_target_xy_anisotropy_control,geometric_specificity_control,0.7,0.5,neither,neither,481,0.962
non_target_xy_anisotropy_control,geometric_specificity_control,0.7,0.5,neither,task_only,10,0.02
non_target_xy_anisotropy_control,geometric_specificity_control,0.7,1.0,neither,congruency_only,11,0.022
non_target_xy_anisotropy_control,geometric_specificity_control,0.7,1.0,neither,neither,474,0.948
non_target_xy_anisotropy_control,geometric_specificity_control,0.7,1.0,neither,task_only,15,0.03
non_target_xy_anisotropy_control,geometric_specificity_control,0.7,1.5,neither,both,1,0.002
non_target_xy_anisotropy_control,geometric_specificity_control,0.7,1.5,neither,congruency_only,13,0.026
non_target_xy_anisotropy_control,geometric_specificity_control,0.7,1.5,neither,neither,472,0.944
non_target_xy_anisotropy_control,geometric_specificity_control,0.7,1.5,neither,task_only,14,0.028
non_target_xy_anisotropy_control,geometric_specificity_control,0.8,0.5,neither,congruency_only,19,0.038
non_target_xy_anisotropy_control,geometric_specificity_control,0.8,0.5,neither,neither,475,0.95
non_target_xy_anisotropy_control,geometric_specificity_control,0.8,0.5,neither,task_only,6,0.012
non_target_xy_anisotropy_control,geometric_specificity_control,0.8,1.0,neither,congruency_only,11,0.022
non_target_xy_anisotropy_control,geometric_specificity_control,0.8,1.0,neither,neither,472,0.944
non_target_xy_anisotropy_control,geometric_specificity_control,0.8,1.0,neither,task_only,17,0.034
non_target_xy_anisotropy_control,geometric_specificity_control,0.8,1.5,neither,both,1,0.002
non_target_xy_anisotropy_control,geometric_specificity_control,0.8,1.5,neither,congruency_only,13,0.026
non_target_xy_anisotropy_control,geometric_specificity_control,0.8,1.5,neither,neither,473,0.946
non_target_xy_anisotropy_control,geometric_specificity_control,0.8,1.5,neither,task_only,13,0.026
non_target_xy_anisotropy_control,geometric_specificity_control,0.9,0.5,neither,congruency_only,9,0.018
non_target_xy_anisotropy_control,geometric_specificity_control,0.9,0.5,neither,neither,476,0.952
non_target_xy_anisotropy_control,geometric_specificity_control,0.9,0.5,neither,task_only,15,0.03
non_target_xy_anisotropy_control,geometric_specificity_control,0.9,1.0,neither,congruency_only,17,0.034
non_target_xy_anisotropy_control,geometric_specificity_control,0.9,1.0,neither,neither,467,0.934
non_target_xy_anisotropy_control,geometric_specificity_control,0.9,1.0,neither,task_only,16,0.032
non_target_xy_anisotropy_control,geometric_specificity_control,0.9,1.5,neither,both,1,0.002
non_target_xy_anisotropy_control,geometric_specificity_control,0.9,1.5,neither,congruency_only,17,0.034
non_target_xy_anisotropy_control,geometric_specificity_control,0.9,1.5,neither,neither,463,0.926
non_target_xy_anisotropy_control,geometric_specificity_control,0.9,1.5,neither,task_only,19,0.038
non_target_xy_anisotropy_control,geometric_specificity_control,1.0,0.5,neither,congruency_only,8,0.016
non_target_xy_anisotropy_control,geometric_specificity_control,1.0,0.5,neither,neither,478,0.956
non_target_xy_anisotropy_control,geometric_specificity_control,1.0,0.5,neither,task_only,14,0.028
non_target_xy_anisotropy_control,geometric_specificity_control,1.0,1.0,neither,congruency_only,5,0.01
non_target_xy_anisotropy_control,geometric_specificity_control,1.0,1.0,neither,neither,482,0.964
non_target_xy_anisotropy_control,geometric_specificity_control,1.0,1.0,neither,task_only,13,0.026
non_target_xy_anisotropy_control,geometric_specificity_control,1.0,1.5,neither,congruency_only,10,0.02
non_target_xy_anisotropy_control,geometric_specificity_control,1.0,1.5,neither,neither,478,0.956
non_target_xy_anisotropy_control,geometric_specificity_control,1.0,1.5,neither,task_only,12,0.024
true_both_warps,positive_control,0.5,0.5,both,both,500,1.0
true_both_warps,positive_control,0.5,1.0,both,both,500,1.0
true_both_warps,positive_control,0.5,1.5,both,both,500,1.0
true_both_warps,positive_control,0.6,0.5,both,both,500,1.0
true_both_warps,positive_control,0.6,1.0,both,both,500,1.0
true_both_warps,positive_control,0.6,1.5,both,both,500,1.0
true_both_warps,positive_control,0.7,0.5,both,both,500,1.0
true_both_warps,positive_control,0.7,1.0,both,both,500,1.0
true_both_warps,positive_control,0.7,1.5,both,both,500,1.0
true_both_warps,positive_control,0.8,0.5,both,both,500,1.0
true_both_warps,positive_control,0.8,1.0,both,both,500,1.0
true_both_warps,positive_control,0.8,1.5,both,both,500,1.0
true_both_warps,positive_control,0.9,0.5,both,both,500,1.0
true_both_warps,positive_control,0.9,1.0,both,both,500,1.0
true_both_warps,positive_control,0.9,1.5,both,both,500,1.0
true_both_warps,positive_control,1.0,0.5,neither,both,1,0.002
true_both_warps,positive_control,1.0,0.5,neither,congruency_only,10,0.02
true_both_warps,positive_control,1.0,0.5,neither,neither,479,0.958
true_both_warps,positive_control,1.0,0.5,neither,task_only,10,0.02
true_both_warps,positive_control,1.0,1.0,neither,both,2,0.004
true_both_warps,positive_control,1.0,1.0,neither,congruency_only,14,0.028
true_both_warps,positive_control,1.0,1.0,neither,neither,469,0.938
true_both_warps,positive_control,1.0,1.0,neither,task_only,15,0.03
true_both_warps,positive_control,1.0,1.5,neither,congruency_only,18,0.036
true_both_warps,positive_control,1.0,1.5,neither,neither,463,0.926
true_both_warps,positive_control,1.0,1.5,neither,task_only,19,0.038
true_congruency_warp,positive_control,0.5,0.5,congruency_only,both,16,0.032
true_congruency_warp,positive_control,0.5,0.5,congruency_only,congruency_only,484,0.968
true_congruency_warp,positive_control,0.5,1.0,congruency_only,both,15,0.03
true_congruency_warp,positive_control,0.5,1.0,congruency_only,congruency_only,485,0.97
true_congruency_warp,positive_control,0.5,1.5,congruency_only,both,16,0.032
