scenario,scenario_family,rho,noise_level,expected,n_studies,n_correct,recovery_accuracy,ci95_low,ci95_high,task_detection_rate,congruency_detection_rate,mean_task_index,mean_congruency_index
fixed_geometry,negative_control,0.5,0.5,neither,500,479,0.958,0.9365130594670811,0.9738164232238529,0.024,0.018,-0.0003463557242922599,-0.0005129294818696998
fixed_geometry,negative_control,0.5,1.0,neither,500,473,0.946,0.9224025315050628,0.9641157402780663,0.028,0.026,-0.0008555477436642061,-0.0011750703092382304
fixed_geometry,negative_control,0.5,1.5,neither,500,462,0.924,0.8971744178850064,0.9456592187560884,0.044,0.032,-0.0009933467151309774,-0.002288982276626234
fixed_geometry,negative_control,0.6,0.5,neither,500,471,0.942,0.9177617791061647,0.9608161312028122,0.034,0.024,-0.0002533237249538731,-0.0004521341560998624
fixed_geometry,negative_control,0.6,1.0,neither,500,466,0.932,0.9062703531926293,0.9524517533673451,0.042,0.03,-0.00021338345403047884,-0.0008362352880468144
fixed_geometry,negative_control,0.6,1.5,neither,500,472,0.944,0.9200786993956399,0.9624695555249778,0.036,0.02,-0.0010187934504158932,-0.0016914393843021525
fixed_geometry,negative_control,0.7,0.5,neither,500,476,0.952,0.9294192037426702,0.9690068312064946,0.024,0.024,-0.00014679989123766847,-4.715996692045156e-05
fixed_geometry,negative_control,0.7,1.0,neither,500,456,0.912,0.8836648293368345,0.9353315424589416,0.048,0.04,-0.000996200930713215,-0.0010467055055558988
fixed_geometry,negative_control,0.7,1.5,neither,500,483,0.966,0.9461196492639231,0.9800713999537937,0.02,0.014,-0.0017746921550519325,-0.0021658952456160238
fixed_geometry,negative_control,0.8,0.5,neither,500,481,0.962,0.9412927095367715,0.9769692291937524,0.018,0.02,-0.0003931770865831119,-0.000635606850640587
fixed_geometry,negative_control,0.8,1.0,neither,500,471,0.942,0.9177617791061647,0.9608161312028122,0.016,0.042,-0.0006848757393859253,-0.000885212556472198
fixed_geometry,negative_control,0.8,1.5,neither,500,471,0.942,0.9177617791061647,0.9608161312028122,0.026,0.032,-0.0014349204387530444,-0.0013297770289034782
fixed_geometry,negative_control,0.9,0.5,neither,500,478,0.956,0.9341389996764051,0.9722232327144282,0.026,0.018,-0.00013532569856544857,-0.00033987971715042007
fixed_geometry,negative_control,0.9,1.0,neither,500,462,0.924,0.8971744178850064,0.9456592187560884,0.032,0.046,-0.0005891681738353982,-0.00047947448849639283
fixed_geometry,negative_control,0.9,1.5,neither,500,467,0.934,0.9085571013891337,0.9541366428894122,0.044,0.022,-0.0004917079591894451,-0.0019595388725364726
fixed_geometry,negative_control,1.0,0.5,neither,500,468,0.936,0.9108493724491366,0.9558157890532867,0.034,0.03,-0.0001946831768311291,-0.00041988504940089467
fixed_geometry,negative_control,1.0,1.0,neither,500,483,0.966,0.9461196492639231,0.9800713999537937,0.026,0.01,-0.0010517370970738846,-0.0015923669700931638
fixed_geometry,negative_control,1.0,1.5,neither,500,469,0.938,0.9131474025208987,0.9574889387036145,0.036,0.028,-0.0010152778893779853,-0.002471004193928237
non_target_xy_anisotropy_control,geometric_specificity_control,0.5,0.5,neither,500,478,0.956,0.9341389996764051,0.9722232327144282,0.02,0.024,-0.00030954608956464504,-7.598254203296787e-05
non_target_xy_anisotropy_control,geometric_specificity_control,0.5,1.0,neither,500,476,0.952,0.9294192037426702,0.9690068312064946,0.016,0.032,-0.000897153143443742,-0.0014695810284819143
non_target_xy_anisotropy_control,geometric_specificity_control,0.5,1.5,neither,500,465,0.93,0.9039889084073668,0.9507613552796212,0.038,0.034,-0.0009364894758934678,-0.001776944173022448
non_target_xy_anisotropy_control,geometric_specificity_control,0.6,0.5,neither,500,480,0.96,0.9388973906117553,0.9753986879144546,0.018,0.022,-0.00017247897801099798,-0.0005531984614501808
non_target_xy_anisotropy_control,geometric_specificity_control,0.6,1.0,neither,500,469,0.938,0.9131474025208987,0.9574889387036145,0.034,0.03,-0.00020928484778777722,-0.0014294468142577127
non_target_xy_anisotropy_control,geometric_specificity_control,0.6,1.5,neither,500,467,0.934,0.9085571013891337,0.9541366428894122,0.03,0.036,-0.0013542717854861386,-0.0018474654603100444
non_target_xy_anisotropy_control,geometric_specificity_control,0.7,0.5,neither,500,481,0.962,0.9412927095367715,0.9769692291937524,0.02,0.018,-0.00037860268287039843,-0.00024713244799114375
non_target_xy_anisotropy_control,geometric_specificity_control,0.7,1.0,neither,500,474,0.948,0.9247336289693778,0.9657543019172321,0.03,0.022,-0.0006401501667407634,-0.0014093399709321933
non_target_xy_anisotropy_control,geometric_specificity_control,0.7,1.5,neither,500,472,0.944,0.9200786993956399,0.9624695555249778,0.03,0.028,-0.0008653288096142493,-0.0020268956771109983
non_target_xy_anisotropy_control,geometric_specificity_control,0.8,0.5,neither,500,475,0.95,0.927072378349521,0.9673848198506699,0.012,0.038,-0.0007181821488131632,-0.00030077739451345555
non_target_xy_anisotropy_control,geometric_specificity_control,0.8,1.0,neither,500,472,0.944,0.9200786993956399,0.9624695555249778,0.034,0.022,-0.001093802121443404,-0.0007146347177060812
