subject,task,behavior_effect,estimate,n_trials
1,rbCue,rel,0.161933658,111
1,rbCue,irrel,0.05684371337,111
1,wCue,diag,0.2452383754,57
2,rbCue,rel,0.2045936579,119
2,rbCue,irrel,-0.1049402636,119
2,wCue,diag,0.211735938,60
3,rbCue,rel,0.1428632652,108
3,rbCue,irrel,-0.07819811557,108
3,wCue,diag,0.2148892695,60
4,rbCue,rel,0.163679096,97
4,rbCue,irrel,-0.03258721449,97
4,wCue,diag,0.1837743705,58
6,rbCue,rel,0.1861111707,104
6,rbCue,irrel,-0.1113458229,104
6,wCue,diag,0.2068886996,54
7,rbCue,rel,0.1343110377,110
7,rbCue,irrel,-0.09974542224,110
7,wCue,diag,0.192835348,59
9,rbCue,rel,0.2067833588,111
9,rbCue,irrel,0.007929746402,111
9,wCue,diag,0.211735938,60
10,rbCue,rel,0.227044668,105
10,rbCue,irrel,0.01483651429,105
10,wCue,diag,0.1935380832,49
11,rbCue,rel,0.2386595232,100
11,rbCue,irrel,-0.03375637551,100
11,wCue,diag,0.2180415004,57
15,rbCue,rel,0.2280327666,115
15,rbCue,irrel,-0.02704802994,115
15,wCue,diag,0.1937954047,59
17,rbCue,rel,0.1932957773,112
17,rbCue,irrel,-0.06647870996,112
17,wCue,diag,0.185238209,58
18,rbCue,rel,0.1749831808,95
18,rbCue,irrel,-0.0821508198,95
18,wCue,diag,0.1969528642,59
19,rbCue,rel,0.1923131471,116
19,rbCue,irrel,-0.01287899935,116
19,wCue,diag,0.2121138826,59
21,rbCue,rel,0.2001806934,120
21,rbCue,irrel,-0.0685061245,120
21,wCue,diag,0.1917792844,59
22,rbCue,rel,0.1262328404,113
22,rbCue,irrel,-0.04368710304,113
22,wCue,diag,0.1790786848,60
23,rbCue,rel,0.2027290825,109
23,rbCue,irrel,0.04090321401,109
23,wCue,diag,0.1991662973,58
24,rbCue,rel,0.2394087578,103
24,rbCue,irrel,-0.06102916994,103
24,wCue,diag,0.2200650355,59
25,rbCue,rel,0.1432978489,103
25,rbCue,irrel,-0.07021900999,103
25,wCue,diag,0.2370981077,58
26,rbCue,rel,0.2171643346,118
26,rbCue,irrel,0.007789443326,118
26,wCue,diag,0.211735938,60
27,rbCue,rel,0.1495611351,83
27,rbCue,irrel,0.06590631041,83
27,wCue,diag,0.1787350149,58
28,rbCue,rel,0.09004508593,118
28,rbCue,irrel,-0.0511501816,118
28,wCue,diag,0.2104571515,59
29,rbCue,rel,0.211192786,117
29,rbCue,irrel,0.07392638505,117
29,wCue,diag,0.2217809516,59
30,rbCue,rel,0.1555046642,108
30,rbCue,irrel,-0.0288674332,108
30,wCue,diag,0.2121138826,59
31,rbCue,rel,0.1769885222,111
31,rbCue,irrel,-0.0810433993,111
31,wCue,diag,0.2110333413,59
