family,task,region,neural_condition,behavior_variable,behavior_definition,n,r,p_parametric,p_permutation,p_fwe_global,survives_global_fwe_05
representational_warping,rbCue,HC_bilateral,congruent,rbCue_adjusted_congruent,adjusted,24,-0.5707953683,0.003581080803,0.0031699683,0.5862441376,False
representational_warping,wCue,HCr,congruent,wCue_raw_congruent,raw,24,0.5364148,0.006887816318,0.006419935801,0.7977720223,False
time_resolved_roi_coding,rbCue,D_precentral_l,F2_rel,irrel,choice_effect_legacy_gaussian_glm,24,0.5023054192,0.01237237243,0.0128898711,0.9343106569,False
representational_warping,rbCue,Amy_bilateral,congruent,rbCue_adjusted_congruent,adjusted,24,-0.5011999793,0.01259737621,0.0132498675,0.9372806272,False
time_resolved_roi_coding,rbCue,chirrel_MFG_r,F2_D,rel,choice_effect_legacy_gaussian_glm,24,0.4824203058,0.01696353119,0.0161198388,0.9732302677,False
time_resolved_roi_coding,rbCue,unrel_IPL_l,F1_rel,irrel,choice_effect_legacy_gaussian_glm,24,0.4591543562,0.02400683984,0.0245097549,0.9927500725,False
representational_warping,wCue,HC_bilateral,congruent,wCue_raw_congruent,raw,24,0.4544451083,0.02568489321,0.0271497285,0.9948400516,False
representational_warping,rbCue,Amyl,congruent,rbCue_adjusted_congruent,adjusted,24,-0.4473057686,0.02840740103,0.0243097569,0.9968500315,False
time_resolved_roi_coding,rbCue,D_insular,F2_D,rel,choice_effect_legacy_gaussian_glm,24,-0.4464629342,0.02874349363,0.0282597174,0.9970800292,False
time_resolved_roi_coding,rbCue,D_IPL_l,F2_D,rel,choice_effect_legacy_gaussian_glm,24,0.4426066952,0.03032202593,0.0290097099,0.9978600214,False
representational_warping,rbCue,HCl,congruent,rbCue_adjusted_congruent,adjusted,24,-0.4394211329,0.03167756182,0.0304496955,0.9982700173,False
representational_warping,wCue,Amy_bilateral,congruent,wCue_raw_congruent,raw,24,0.4378938976,0.03234433885,0.0317396826,0.9984600154,False
time_resolved_roi_coding,wCue,undiagdiff_IFG_l,F2_diagdiff,diag,choice_effect_legacy_gaussian_glm,24,-0.4293645507,0.03627633649,0.0356296437,0.9991500085,False
time_resolved_roi_coding,rbCue,chrel_putamen_l,F2_irrel,rel,choice_effect_legacy_gaussian_glm,24,0.4267713995,0.03754395268,0.0374596254,0.9992900071,False
representational_warping,rbCue,HCr,congruent,rbCue_adjusted_congruent,adjusted,24,-0.4274124601,0.03722737048,0.0381696183,0.9992900071,False
representational_warping,rbCue,ECr,congruent,rbCue_adjusted_congruent,adjusted,24,-0.4255955875,0.03813014765,0.0395096049,0.9993600064,False
representational_warping,rbCue,mPFC,congruent,rbCue_adjusted_congruent,adjusted,24,-0.4204562692,0.04077772452,0.038299617,0.9996100039,False
time_resolved_roi_coding,rbCue,chirrel_precuences,F2_D,rel,choice_effect_legacy_gaussian_glm,24,0.4187582417,0.04168359922,0.0409595904,0.9996400036,False
representational_warping,rbCue,HCl,congruent,rbCue_raw_congruent,raw,24,0.415785866,0.04330736411,0.0435795642,0.9997400026,False
time_resolved_roi_coding,rbCue,I_precentral_l,F2_irrel,rel,choice_effect_legacy_gaussian_glm,24,0.3990034906,0.0534278475,0.05333946661,0.9999500005,False
time_resolved_roi_coding,wCue,undiagdiff_insula_r,F2_diagdiff,diag,choice_effect_legacy_gaussian_glm,24,-0.3989929977,0.05343470311,0.05352946471,0.9999500005,False
time_resolved_roi_coding,rbCue,F2rel_precnetral_l,F2_D,rel,choice_effect_legacy_gaussian_glm,24,0.3967054094,0.05494567729,0.05524944751,0.9999700003,False
time_resolved_roi_coding,wCue,undiagdiff_IPL_l,F2_diag,diag,choice_effect_legacy_gaussian_glm,24,0.3912938148,0.0586518674,0.05874941251,0.9999900001,False
