family,task,region,neural_condition,behavior_variable,behavior_definition,n,r,p_parametric,p_permutation,p_fwe_global,survives_global_fwe_05
time_resolved_roi_coding,rbCue,D_precentral_l,F2_rel,irrel,choice_effect_legacy_gaussian_glm,24,0.5023054192,0.01237237243,0.0128898711,0.9343106569,False
time_resolved_roi_coding,rbCue,chirrel_MFG_r,F2_D,rel,choice_effect_legacy_gaussian_glm,24,0.4824203058,0.01696353119,0.0161198388,0.9732302677,False
time_resolved_roi_coding,rbCue,unrel_IPL_l,F1_rel,irrel,choice_effect_legacy_gaussian_glm,24,0.4591543562,0.02400683984,0.0245097549,0.9927500725,False
time_resolved_roi_coding,rbCue,D_insular,F2_D,rel,choice_effect_legacy_gaussian_glm,24,-0.4464629342,0.02874349363,0.0282597174,0.9970800292,False
time_resolved_roi_coding,rbCue,D_IPL_l,F2_D,rel,choice_effect_legacy_gaussian_glm,24,0.4426066952,0.03032202593,0.0290097099,0.9978600214,False
time_resolved_roi_coding,wCue,undiagdiff_IFG_l,F2_diagdiff,diag,choice_effect_legacy_gaussian_glm,24,-0.4293645507,0.03627633649,0.0356296437,0.9991500085,False
time_resolved_roi_coding,rbCue,chrel_putamen_l,F2_irrel,rel,choice_effect_legacy_gaussian_glm,24,0.4267713995,0.03754395268,0.0374596254,0.9992900071,False
time_resolved_roi_coding,rbCue,chirrel_precuences,F2_D,rel,choice_effect_legacy_gaussian_glm,24,0.4187582417,0.04168359922,0.0409595904,0.9996400036,False
time_resolved_roi_coding,rbCue,I_precentral_l,F2_irrel,rel,choice_effect_legacy_gaussian_glm,24,0.3990034906,0.0534278475,0.05333946661,0.9999500005,False
time_resolved_roi_coding,wCue,undiagdiff_insula_r,F2_diagdiff,diag,choice_effect_legacy_gaussian_glm,24,-0.3989929977,0.05343470311,0.05352946471,0.9999500005,False
time_resolved_roi_coding,rbCue,F2rel_precnetral_l,F2_D,rel,choice_effect_legacy_gaussian_glm,24,0.3967054094,0.05494567729,0.05524944751,0.9999700003,False
time_resolved_roi_coding,wCue,undiagdiff_IPL_l,F2_diag,diag,choice_effect_legacy_gaussian_glm,24,0.3912938148,0.0586518674,0.05874941251,0.9999900001,False
time_resolved_roi_coding,rbCue,F1rel_IPL_l,F2_rel,irrel,choice_effect_legacy_gaussian_glm,24,0.3905249455,0.05919371667,0.05932940671,0.9999900001,False
time_resolved_roi_coding,rbCue,D_IPL_l,F1_rel,irrel,choice_effect_legacy_gaussian_glm,24,0.3890483276,0.0602451617,0.05933940661,0.9999900001,False
time_resolved_roi_coding,rbCue,D_precuneus_l,F1_rel,irrel,choice_effect_legacy_gaussian_glm,24,0.3838731743,0.06404412476,0.06289937101,0.9999900001,False
time_resolved_roi_coding,rbCue,F1rel_IPL_l,F1_rel,rel,choice_effect_legacy_gaussian_glm,24,0.3833470388,0.06444041021,0.06454935451,0.9999900001,False
time_resolved_roi_coding,wCue,undiagdiff_insula_l,F2_diagdiff,diag,choice_effect_legacy_gaussian_glm,24,-0.3824353438,0.06513154986,0.06579934201,0.9999900001,False
time_resolved_roi_coding,rbCue,D_precuneus_l,F2_D,rel,choice_effect_legacy_gaussian_glm,24,0.375306203,0.07073368715,0.07129928701,1,False
time_resolved_roi_coding,rbCue,I_precentral_l,F1_irrel,irrel,choice_effect_legacy_gaussian_glm,24,0.3576661875,0.08617070091,0.08667913321,1,False
time_resolved_roi_coding,rbCue,chrel_putamen_l,F1_rel,irrel,choice_effect_legacy_gaussian_glm,24,-0.3551520836,0.08856187483,0.08793912061,1,False
time_resolved_roi_coding,rbCue,unrel_IPL_l,F2_rel,irrel,choice_effect_legacy_gaussian_glm,24,0.3570187233,0.08678181805,0.08852911471,1,False
time_resolved_roi_coding,rbCue,D_IFG_l,F2_rel,irrel,choice_effect_legacy_gaussian_glm,24,0.348099435,0.09553494324,0.09553904461,1,False
time_resolved_roi_coding,rbCue,D_insular,F2_rel,irrel,choice_effect_legacy_gaussian_glm,24,0.3438931148,0.09988376486,0.1007489925,1,False
time_resolved_roi_coding,rbCue,chirrel_precuences,F2_rel,rel,choice_effect_legacy_gaussian_glm,24,-0.3414121759,0.1025165985,0.10199898,1,False
time_resolved_roi_coding,rbCue,D_precentral_l,F1_irrel,rel,choice_effect_legacy_gaussian_glm,24,-0.3373182968,0.1069728184,0.1071689283,1,False
time_resolved_roi_coding,rbCue,D_precuneus_l,F2_rel,irrel,choice_effect_legacy_gaussian_glm,24,0.3317678722,0.1132401905,0.1146188538,1,False
time_resolved_roi_coding,wCue,undiagdiff_IPL_l,F2_diagdiff,diag,choice_effect_legacy_gaussian_glm,24,-0.328349432,0.11723161,0.1171088289,1,False
time_resolved_roi_coding,rbCue,I_precentral_l,F2_D,rel,choice_effect_legacy_gaussian_glm,24,0.3231801066,0.1234609676,0.1228087719,1,False
time_resolved_roi_coding,rbCue,D_IPL_l,F1_irrel,rel,choice_effect_legacy_gaussian_glm,24,-0.3095991733,0.1409655917,0.1403185968,1,False
time_resolved_roi_coding,rbCue,I_precentral_l,F2_rel,irrel,choice_effect_legacy_gaussian_glm,24,0.3091962931,0.1415105831,0.1410085899,1,False
time_resolved_roi_coding,wCue,F2diagdiff_insula_l,F2_diagdiff,diag,choice_effect_legacy_gaussian_glm,24,-0.303728254,0.1490568041,0.147398526,1,False
time_resolved_roi_coding,rbCue,unrel_IFG_l,F2_rel,irrel,choice_effect_legacy_gaussian_glm,24,0.3045768723,0.1478673303,0.1484485155,1,False
time_resolved_roi_coding,rbCue,unrel_MFG_l,F2_rel,irrel,choice_effect_legacy_gaussian_glm,24,0.3045768723,0.1478673303,0.1484485155,1,False
time_resolved_roi_coding,wCue,undiagdiff_IFG_l,F2_diag,diag,choice_effect_legacy_gaussian_glm,24,0.2994159187,0.1552062294,0.1524684753,1,False
time_resolved_roi_coding,rbCue,F2rel_precnetral_l,F2_I,irrel,choice_effect_legacy_gaussian_glm,24,0.2949081086,0.1618235782,0.1623683763,1,False
time_resolved_roi_coding,rbCue,F1rel_IPL_l,F2_D,rel,choice_effect_legacy_gaussian_glm,24,0.2913285906,0.1672173903,0.1652183478,1,False
time_resolved_roi_coding,rbCue,F1rel_IPL_l,F1_rel,irrel,choice_effect_legacy_gaussian_glm,24,0.2866587909,0.1744411644,0.1759082409,1,False
time_resolved_roi_coding,rbCue,chrel_putamen_l,F2_D,rel,choice_effect_legacy_gaussian_glm,24,0.2855838448,0.176134209,0.1763482365,1,False
time_resolved_roi_coding,rbCue,unrel_IPL_l,F2_D,rel,choice_effect_legacy_gaussian_glm,24,0.2847602744,0.1774390175,0.1765482345,1,False
time_resolved_roi_coding,rbCue,unrel_IPL_l,F1_irrel,rel,choice_effect_legacy_gaussian_glm,24,-0.2774193416,0.1893657883,0.1913580864,1,False
time_resolved_roi_coding,rbCue,D_precentral_l,F2_irrel,rel,choice_effect_legacy_gaussian_glm,24,0.2742257647,0.1947219039,0.1939480605,1,False
time_resolved_roi_coding,wCue,undiagdiff_insula_r,F2_diag,diag,choice_effect_legacy_gaussian_glm,24,0.2728036218,0.1971399773,0.1939680603,1,False
time_resolved_roi_coding,wCue,undiagdiff_insula_l,F2_diag,diag,choice_effect_legacy_gaussian_glm,24,0.2667451365,0.2076698754,0.2052779472,1,False
time_resolved_roi_coding,rbCue,chirrel_MFG_r,F2_irrel,irrel,choice_effect_legacy_gaussian_glm,24,0.2678999014,0.2056341854,0.2071079289,1,False
time_resolved_roi_coding,rbCue,I_precentral_l,F1_rel,irrel,choice_effect_legacy_gaussian_glm,24,-0.2659202208,0.2091323809,0.2099079009,1,False
