family,region,neural_condition,behavior_task,behavior_definition,behavior_variable,n,r,p_parametric,p_permutation,p_fwe_max,survives_fwe_05
representational_warping,HC_bilateral,congruent,rbCue,adjusted,rbCue_adjusted_congruent,24,-0.5707953684,0.003581080796,0.0030099699,0.331496685,False
representational_warping,HCr,congruent,wCue,raw,wCue_raw_congruent,24,0.5364147999,0.006887816335,0.006169938301,0.516304837,False
representational_warping,Amy_bilateral,congruent,rbCue,adjusted,rbCue_adjusted_congruent,24,-0.5011999793,0.01259737622,0.0122798772,0.7131228688,False
representational_warping,HC_bilateral,congruent,wCue,raw,wCue_raw_congruent,24,0.4544451082,0.02568489324,0.0275097249,0.9058409416,False
representational_warping,Amyl,congruent,rbCue,adjusted,rbCue_adjusted_congruent,24,-0.4473057686,0.02840740104,0.0235897641,0.9247307527,False
representational_warping,HCl,congruent,rbCue,adjusted,rbCue_adjusted_congruent,24,-0.439421133,0.03167756177,0.0297897021,0.9426805732,False
representational_warping,Amy_bilateral,congruent,wCue,raw,wCue_raw_congruent,24,0.4378938975,0.03234433889,0.0330596694,0.945800542,False
representational_warping,HCr,congruent,rbCue,adjusted,rbCue_adjusted_congruent,24,-0.4274124602,0.03722737047,0.0366796332,0.9634503655,False
representational_warping,ECr,congruent,rbCue,adjusted,rbCue_adjusted_congruent,24,-0.4255955876,0.03813014761,0.0370496295,0.9660503395,False
representational_warping,mPFC,congruent,rbCue,adjusted,rbCue_adjusted_congruent,24,-0.4204562692,0.04077772453,0.0377696223,0.9722902771,False
representational_warping,HCl,congruent,rbCue,raw,rbCue_raw_congruent,24,0.415785866,0.04330736409,0.0430295697,0.9772902271,False
representational_warping,Amyr,congruent,wCue,raw,wCue_raw_congruent,24,0.3867583169,0.06190418584,0.05997940021,0.9950300497,False
representational_warping,Insula_bilateral,attention,wCue,raw,wCue_raw_attention,24,-0.3830349391,0.06467637108,0.06441935581,0.9960900391,False
representational_warping,Amyl,attention,rbCue,raw,rbCue_raw_attention,24,0.3820315729,0.06543945071,0.06496935031,0.9964200358,False
representational_warping,EC_bilateral,congruent,rbCue,adjusted,rbCue_adjusted_congruent,24,-0.3742104797,0.07162629875,0.07023929761,0.9977200228,False
representational_warping,Insula_bilateral,attention,rbCue,raw,rbCue_raw_attention,24,0.3706142037,0.07461629986,0.07472925271,0.9983300167,False
representational_warping,IPLl,attention,rbCue,adjusted,rbCue_adjusted_attention,24,0.3609735893,0.08309926395,0.08272917271,0.9992800072,False
representational_warping,Amyr,congruent,rbCue,adjusted,rbCue_adjusted_congruent,24,-0.3515837612,0.09204061122,0.09253907461,0.9996200038,False
representational_warping,precuneusr,congruent,wCue,raw,wCue_raw_congruent,24,0.3495446703,0.09407377174,0.09368906311,0.9996800032,False
representational_warping,Amyl,congruent,wCue,raw,wCue_raw_congruent,24,0.3492919844,0.09432803472,0.09748902511,0.9996900031,False
representational_warping,Insula_bilateral,congruent,rbCue,adjusted,rbCue_adjusted_congruent,24,-0.3478780363,0.09576026678,0.09400905991,0.9997400026,False
representational_warping,HC_bilateral,congruent,rbCue,raw,rbCue_raw_congruent,24,0.3469195609,0.09674029761,0.09620903791,0.9997700023,False
representational_warping,EC_bilateral,attention,wCue,raw,wCue_raw_attention,24,-0.3389541521,0.1051753815,0.1040289597,0.9998700013,False
representational_warping,Amyr,attention,rbCue,adjusted,rbCue_adjusted_attention,24,0.3338251283,0.1108866048,0.1113088869,0.9999300007,False
representational_warping,Insular,attention,wCue,raw,wCue_raw_attention,24,-0.3304833002,0.1147282262,0.1132788672,0.9999500005,False
representational_warping,Amyl,attention,wCue,raw,wCue_raw_attention,24,-0.3301978933,0.1150607714,0.1153788462,0.9999500005,False
representational_warping,HC_bilateral,congruent,wCue,adjusted,wCue_adjusted_congruent,24,-0.3280592416,0.1175751062,0.1177388226,0.9999700003,False
representational_warping,Insular,attention,rbCue,raw,rbCue_raw_attention,24,0.3257564713,0.1203269508,0.1231387686,0.9999700003,False
representational_warping,EC_bilateral,congruent,wCue,raw,wCue_raw_congruent,24,0.3217214119,0.1252614423,0.1268287317,0.9999800002,False
