metric,step,n_seeds,mean_raw,se_raw,effect_mean,seed_t,p_uncorrected,p_maxT_FWER
Fig5.5_2D_RSA_beta,0,30,1.68822616542436e-05,3.095675367878773e-05,1.68822616542436e-05,0.5453498719347859,0.5896831942294667,0.998750012499875
Fig5.5_2D_RSA_beta,50,30,7.912702301891246e-05,3.184165272103161e-05,7.912702301891246e-05,2.4850162054135,0.018970009149376837,0.11593884061159389
Fig5.5_2D_RSA_beta,100,30,0.0006659135558522042,0.00012386980017004963,0.0006659135558522042,5.375915315420156,8.925664389715998e-06,0.00015999840001599985
Fig5.5_2D_RSA_beta,150,30,0.015656454148933633,0.0044854396343104695,0.015656454148933633,3.490506042969063,0.0015629507822364393,0.011319886801131988
Fig5.5_2D_RSA_beta,200,30,0.15176166580188846,0.02054657907757634,0.15176166580188846,7.386225474756266,3.8767228316957134e-08,9.99990000099999e-06
Fig5.5_2D_RSA_beta,250,30,0.253577609366474,0.01638615112472003,0.253577609366474,15.475117215532608,1.498660616759938e-15,9.99990000099999e-06
Fig5.5_2D_RSA_beta,300,30,0.2679792329229237,0.014099892686869493,0.2679792329229237,19.005764006450843,6.507987102322113e-18,9.99990000099999e-06
Fig5.5_2D_RSA_beta,350,30,0.2617204438859333,0.014340466260253943,0.2617204438859333,18.250483571187505,1.9320418603600642e-17,9.99990000099999e-06
Fig5.5_2D_RSA_beta,400,30,0.24378249016619055,0.014607147771984401,0.24378249016619055,16.68926021504008,2.0769769968405203e-16,9.99990000099999e-06
Fig5.5_2D_RSA_beta,450,30,0.24259743501758735,0.012313658724374621,0.24259743501758735,19.70149087674251,2.466923627408871e-18,9.99990000099999e-06
Fig5.5_2D_RSA_beta,500,30,0.24916583471601816,0.010129340366685866,0.24916583471601816,24.59842652098979,5.625367511480796e-21,9.99990000099999e-06
Fig5.5_2D_RSA_beta,550,30,0.24895994138149855,0.010885955381645785,0.24895994138149855,22.8698293032926,4.20983263081875e-20,9.99990000099999e-06
Fig5.5_2D_RSA_beta,600,30,0.2676318495601519,0.011240745187675464,0.2676318495601519,23.809084281492993,1.3872842215785696e-20,9.99990000099999e-06
Fig5.5_2D_RSA_beta,650,30,0.2925324380735936,0.01115620543595036,0.2925324380735936,26.22149975213985,9.526351918444857e-22,9.99990000099999e-06
Fig5.5_2D_RSA_beta,700,30,0.31101189786879696,0.010445090241834697,0.31101189786879696,29.775893809239815,2.71356587782503e-23,9.99990000099999e-06
Fig5.5_2D_RSA_beta,750,30,0.3295172247511774,0.010550201379797503,0.3295172247511774,31.233263981308202,7.068629159367036e-24,9.99990000099999e-06
Fig5.5_2D_RSA_beta,800,30,0.34274689447848683,0.011409150415769962,0.34274689447848683,30.041403784521506,2.114127966096193e-23,9.99990000099999e-06
Fig5.5_2D_RSA_beta,850,30,0.3568137098387812,0.01139616039056585,0.3568137098387812,31.309993682974522,6.596201666763333e-24,9.99990000099999e-06
Fig5.5_2D_RSA_beta,900,30,0.3653969920266042,0.01161548384403776,0.3653969920266042,31.457750441809,5.776163119842281e-24,9.99990000099999e-06
Fig5.5_2D_RSA_beta,950,30,0.3719293800254238,0.011667690769979977,0.3719293800254238,31.87686298495054,3.9763476320475185e-24,9.99990000099999e-06
Fig5.5_2D_RSA_beta,1000,30,0.3727878100939546,0.012269670935779858,0.3727878100939546,30.382869438401958,1.5382442578627947e-23,9.99990000099999e-06
Fig5.5_1D_RSA_beta,0,30,-0.00015816555254642722,5.797115776532599e-05,-0.00015816555254642722,-2.7283490384425275,0.010698066410302314,0.06885931140688593
Fig5.5_1D_RSA_beta,50,30,-7.466318885846837e-05,4.4426343541203695e-05,-7.466318885846837e-05,-1.6806062103495236,0.10358130242507833,0.4895651043489565
Fig5.5_1D_RSA_beta,100,30,0.0001156794211632915,7.610365830303436e-05,0.0001156794211632915,1.520024447480197,0.1393338225503633,0.5994240057599424
Fig5.5_1D_RSA_beta,150,30,0.0037301754574336483,0.001680599061348995,0.0037301754574336483,2.219551077482743,0.03442841671257096,0.1973680263197368
Fig5.5_1D_RSA_beta,200,30,0.06454867097089997,0.010409393586148829,0.06454867097089997,6.2010020503779515,9.190016635082164e-07,4.999950000499995e-05
Fig5.5_1D_RSA_beta,250,30,0.14144421176223126,0.018785304079175277,0.14144421176223126,7.529514090699832,2.6718734031577256e-08,9.99990000099999e-06
Fig5.5_1D_RSA_beta,300,30,0.21237161998307788,0.030557642140611404,0.21237161998307788,6.949869332386544,1.2222595553980975e-07,9.99990000099999e-06
Fig5.5_1D_RSA_beta,350,30,0.28950238915139276,0.03815700739180125,0.28950238915139276,7.587135599465219,2.3020550384089075e-08,9.99990000099999e-06
Fig5.5_1D_RSA_beta,400,30,0.38023202270689455,0.043896511527911374,0.38023202270689455,8.662010020206864,1.5439713616869743e-09,9.99990000099999e-06
Fig5.5_1D_RSA_beta,450,30,0.46013954169029786,0.04743184172650338,0.46013954169029786,9.701068416097087,1.3079318904962613e-10,9.99990000099999e-06
