family,effect,tent_index,N,W_positive,P_uncorrected,abs_signed_rank_score,P_FWER,significant_FWER_0.05
Family1_single_dimensional,IPL_F1_relevant,4,24,282.0,3.0159950256347656e-05,264.0,0.0008399916000839992,True
Family1_single_dimensional,IPL_F1_irrelevant,4,24,127.0,0.5270590782165527,46.0,1.0,False
Family1_single_dimensional,IPL_F2_relevant_difference,4,24,4.0,8.344650268554688e-07,292.0,4.999950000499995e-05,True
Family1_single_dimensional,Insula_F1_relevant,4,24,212.0,0.07872927188873291,124.0,0.5191248087519125,False
Family1_single_dimensional,Insula_F1_irrelevant,0,24,186.0,0.3165123462677002,72.0,0.995420045799542,False
Family1_single_dimensional,Insula_F2_relevant_difference,4,24,3.0,5.960464477539062e-07,294.0,2.999970000299997e-05,True
Family1_single_dimensional,Precuneus_F2_relevant_difference,4,24,47.0,0.002245783805847168,206.0,0.03815961840381596,True
Family1_single_dimensional,Precuneus_F2_irrelevant_difference,5,24,210.0,0.08937323093414307,120.0,0.5622543774562254,False
Family1_single_dimensional,Precuneus_easy_irrelevant,0,24,194.0,0.21821892261505127,88.0,0.9164108358916411,False
Family1_single_dimensional,Precuneus_hard_irrelevant,6,24,270.0,0.00023925304412841797,240.0,0.006009939900600994,True
Family2_mixed_dimensional,Insula_F1_diagonal_rank,8,24,249.0,0.0035042762756347656,198.0,0.026449735502644973,True
Family2_mixed_dimensional,Insula_F1_diagonal_rank,9,24,247.0,0.00433504581451416,194.0,0.03197968020319797,True
Family2_mixed_dimensional,HC_F1_diagonal_rank,8,24,249.0,0.0035042762756347656,198.0,0.026449735502644973,True
Family2_mixed_dimensional,HC_F1_diagonal_rank,9,24,247.0,0.00433504581451416,194.0,0.03197968020319797,True
Family2_mixed_dimensional,Insula_F2_diagonal_difference,3,24,18.0,3.0159950256347656e-05,264.0,0.0002999970000299997,True
Family2_mixed_dimensional,Insula_F2_diagonal_difference,4,24,38.0,0.0007423162460327148,224.0,0.0066899331006689934,True
Family2_mixed_dimensional,HC_F2_diagonal_difference,3,24,18.0,3.0159950256347656e-05,264.0,0.0002999970000299997,True
Family2_mixed_dimensional,HC_F2_diagonal_difference,4,24,38.0,0.0007423162460327148,224.0,0.0066899331006689934,True
